timestamp,test-class,test-method,time,description,result
"2022-06-03 16:49:42.725","acme.testing.inventor.pomp.InventorPompCreateTest","positiveTest",11133,""[1] recordIndex=0, code=FR-245, name=name-test-1, explanation=explanation-test-1, startDate=2030/06/10 12:34, finishDate=2030/06/21 10:21, expenditure=EUR 20.19, moreInfo=null"","Errors were unexpected, but found"
"2022-06-03 16:49:56.319","acme.testing.inventor.pomp.InventorPompCreateTest","positiveTest",13182,""[2] recordIndex=1, code=WE-73, name=name-test-2, explanation=explanation-test-2, startDate=2031/06/10 12:34, finishDate=2031/06/21 10:21, expenditure=EUR 78.99, moreInfo=https://www.google.com"","OK"
"2022-06-03 16:50:08.308","acme.testing.inventor.pomp.InventorPompCreateTest","negativeTest",11354,""[1] recordIndex=1, code=AB-87, name=null, explanation=explanation-test-2, startDate=2031/06/10 12:34, finishDate=2031/06/21 10:21, expenditure=EUR 78.99, moreInfo=https://www.google.com"","OK"
"2022-06-03 16:50:20.083","acme.testing.inventor.pomp.InventorPompCreateTest","negativeTest",11125,""[2] recordIndex=2, code=DF-23, name=hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo ho, explanation=explanation-test-3, startDate=2031/06/10 12:34, finishDate=2031/06/21 10:21, expenditure=EUR 78.99, moreInfo=https://www.google.com"","OK"
"2022-06-03 16:50:31.219","acme.testing.inventor.pomp.InventorPompCreateTest","negativeTest",10484,""[3] recordIndex=3, code=DF-23, name=name-test-4, explanation=null, startDate=2031/06/10 12:34, finishDate=2031/06/21 10:21, expenditure=EUR 78.99, moreInfo=https://www.google.com"","OK"
"2022-06-03 16:50:42.582","acme.testing.inventor.pomp.InventorPompCreateTest","negativeTest",10965,""[4] recordIndex=4, code=DF-23, name=name-test-5, explanation=hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hol, startDate=2031/06/10 12:34, finishDate=2031/06/21 10:21, expenditure=EUR 78.99, moreInfo=https://www.google.com"","OK"
"2022-06-03 16:50:53.987","acme.testing.inventor.pomp.InventorPompCreateTest","negativeTest",11028,""[5] recordIndex=5, code=DF-23, name=name-test-6, explanation=explanation-test-6, startDate=null, finishDate=2031/06/21 10:21, expenditure=EUR 78.99, moreInfo=https://www.google.com"","OK"
"2022-06-03 16:51:03.29","acme.testing.inventor.pomp.InventorPompCreateTest","negativeTest",8841,""[6] recordIndex=6, code=DF-23, name=name-test-7, explanation=explanation-test-7, startDate=2019/06/10 12:34, finishDate=2031/06/21 10:21, expenditure=EUR 78.99, moreInfo=https://www.google.com"","OK"
"2022-06-03 16:51:13.026","acme.testing.inventor.pomp.InventorPompCreateTest","negativeTest",9327,""[7] recordIndex=7, code=DF-23, name=name-test-8, explanation=explanation-test-8, startDate=2031/06/10 12:34, finishDate=null, expenditure=EUR 78.99, moreInfo=https://www.google.com"","OK"
"2022-06-03 16:51:22.25","acme.testing.inventor.pomp.InventorPompCreateTest","negativeTest",8810,""[8] recordIndex=8, code=DF-23, name=name-test-9, explanation=explanation-test-9, startDate=2031/06/10 12:34, finishDate=2031/06/13 10:21, expenditure=EUR 78.99, moreInfo=https://www.google.com"","OK"
"2022-06-03 16:51:31.364","acme.testing.inventor.pomp.InventorPompCreateTest","negativeTest",8641,""[9] recordIndex=9, code=DF-23, name=name-test-10, explanation=explanation-test-10, startDate=2030/06/10 12:34, finishDate=2030/06/21 10:21, expenditure=ASD 20.19, moreInfo=https://www.google.com"","OK"
